"","Destination","Dest.Code","Origin","Origin.Code","Year","Value"
"6440","Bulgaria","BGR","Moldova, Republic of","MDA",2010,0
"6468","Bulgaria","BGR","Uzbekistan","UZB",2010,0
"6475","Bulgaria","BGR","Finland","FIN",2010,8
"6476","Bulgaria","BGR","Slovenia","SVN",2010,-16
"6501","Bulgaria","BGR","Jordan","JOR",2010,-42
"6523","Bulgaria","BGR","Kuwait","KWT",2010,-8
"6532","Bulgaria","BGR","Liberia","LBR",2010,0
"6560","Bulgaria","BGR","Russian Federation","RUS",2010,272
"6566","Bulgaria","BGR","Azerbaijan","AZE",2010,0
"6572","Bulgaria","BGR","US Virgin Islands","VIR",2010,-3
"6573","Bulgaria","BGR","British Virgin Islands","VGB",2010,34
"6575","Bulgaria","BGR","Albania","ALB",2010,0
"6583","Bulgaria","BGR","Armenia","ARM",2010,2
"6584","Bulgaria","BGR","Belize","BLZ",2010,-7
"6586","Bulgaria","BGR","Namibia","NAM",2010,3
"6637","Bulgaria","BGR","Oman","OMN",2010,-2
"6646","Bulgaria","BGR","Lebanon","LBN",2010,2
"6658","Bulgaria","BGR","Cayman Islands","CYM",2010,-16
"6660","Bulgaria","BGR","Niger","NER",2010,0
"6692","Bulgaria","BGR","Bahrain","BHR",2010,0
"6719","Bulgaria","BGR","Hungary","HUN",2010,93
"6731","Bulgaria","BGR","Bahamas","BHS",2010,-4
"6767","Bulgaria","BGR","New Zealand","NZL",2010,1
"6770","Bulgaria","BGR","South Africa","ZAF",2010,0
"6772","Bulgaria","BGR","Anguilla","AIA",2010,-3
"6793","Bulgaria","BGR","Georgia","GEO",2010,-5
"6807","Bulgaria","BGR","Bangladesh","BGD",2010,0
"6830","Bulgaria","BGR","Slovakia","SVK",2010,-17
"6837","Bulgaria","BGR","Indonesia","IDN",2010,-1
"6848","Bulgaria","BGR","Malaysia","MYS",2010,1
"6851","Bulgaria","BGR","Germany","DEU",2010,107
"6858","Bulgaria","BGR","Iraq","IRQ",2010,4
"6865","Bulgaria","BGR","Guernsey","GGY",2010,-2
"6879","Bulgaria","BGR","Latvia","LVA",2010,-3
"6882","Bulgaria","BGR","Serbia","SRB",2010,-8
"6883","Bulgaria","BGR","Cyprus","CYP",2010,140
"6894","Bulgaria","BGR","Switzerland","CHE",2010,-74
"6896","Bulgaria","BGR","Denmark","DNK",2010,3
"6897","Bulgaria","BGR","Marshall Islands","MHL",2010,-10
"6928","Bulgaria","BGR","French Polynesia","PYF",2010,0
"6934","Bulgaria","BGR","Montenegro","MNE",2010,0
"6937","Bulgaria","BGR","Antigua and Barbuda","ATG",2010,-2
"6960","Bulgaria","BGR","Trinidad and Tobago","TTO",2010,0
"6972","Bulgaria","BGR","Estonia","EST",2010,-9
"6984","Bulgaria","BGR","France","FRA",2010,81
"6985","Bulgaria","BGR","Sierra Leone","SLE",2010,0
"6994","Bulgaria","BGR","Singapore","SGP",2010,0
"7016","Bulgaria","BGR","Norway","NOR",2010,-2
"7024","Bulgaria","BGR","Spain","ESP",2010,17
"7072","Bulgaria","BGR","Saint Kitts and Nevis","KNA",2010,7
"7100","Bulgaria","BGR","Samoa","WSM",2010,0
"7107","Bulgaria","BGR","Morocco","MAR",2010,0
"7111","Bulgaria","BGR","Saudi Arabia","SAU",2010,-1
"7112","Bulgaria","BGR","Luxembourg","LUX",2010,-160
"7117","Bulgaria","BGR","Nigeria","NGA",2010,5
"7120","Bulgaria","BGR","Greece","GRC",2010,84
"7136","Bulgaria","BGR","Mexico","MEX",2010,0
"7153","Bulgaria","BGR","United Arab Emirates","ARE",2010,3
"7195","Bulgaria","BGR","New Caledonia","NCL",2010,0
"7207","Bulgaria","BGR","Guam","GUM",2010,0
"7209","Bulgaria","BGR","Ireland","IRL",2010,5
"7221","Bulgaria","BGR","Australia","AUS",2010,1
"7223","Bulgaria","BGR","Panama","PAN",2010,-5
"7224","Bulgaria","BGR","Netherlands","NLD",2010,1643
"7226","Bulgaria","BGR","Romania","ROU",2010,13
